text,label
When did it happen?,CEQ
When did you arrive?,CEQ
When did you see it?,CEQ
When did they leave?,CEQ
When does it start?,CEQ
When does it end?,CEQ
When will you be ready?,CEQ
When should we go?,CEQ
When can you come?,CEQ
When was it made?,CEQ
When were you born?,CEQ
When did you finish?,CEQ
When do you want to eat?,CEQ
When is your birthday?,CEQ
When is the meeting?,CEQ
When did you last see it?,CEQ
Where did you put it?,CEQ
Where is the book?,CEQ
Where are you going?,CEQ
Where does it go?,CEQ
Where should we meet?,CEQ
Where can I find it?,CEQ
Where is your house?,CEQ
Where did you hide it?,CEQ
Who did this?,CEQ
